NO (cm-1),Toluene,Toluene,T1,T2,T3 MPU,T3 PU,T4 -CSF,T4 -CCF,T4 -F,T5,T7,T9,T10-S,T10-R
2653.46246,98.59241,98.59241,58.48197013362,70.1522245887802,90.8611231633163,94.0493986236193,82.9808632297059,87.7232371056774,77.7895800333373,70.6656886153189,93.561722806403,97.6704369300811,-25.3381833176249,89.8055632100865
2656.7998,98.66062,98.66062,58.3718073579313,69.9588998858512,90.7925105002801,94.0092418949045,82.8804324790556,87.8486110633734,77.8854206837645,70.5445600969511,93.4339977445925,97.6217988392303,-25.3381833176249,89.7711725251724
2660.13714,98.72883,98.72883,58.2595352270564,69.7689848851296,90.7239094527277,93.9690503984593,82.7800017284054,87.9739680073692,78.026578580011,70.4238984151136,93.3063132948845,97.5731607483796,-25.3381833176249,89.7359241111282
2663.47447,98.79703,98.79703,58.1471270087501,69.5790157621507,90.7005855611792,93.9288936697445,82.7880011613545,88.0943739645703,78.1808899153183,70.3062867319399,93.1785882330741,97.5245414876066,-25.3381833176249,89.6983718791725
2666.81181,98.86524,98.86524,58.0347187904439,69.3890466391718,90.6849162734806,93.8887021732992,82.8816513275671,88.2142695107616,78.3352209709239,70.1888306609431,93.0508631712637,97.4759033967558,-25.3381833176249,89.6598662210351
2670.14915,98.93345,98.93345,57.9223786158534,69.1972914817034,90.6902826270142,93.8485454445845,82.975289660299,88.3315959882038,78.5149912115195,70.0720437223062,92.9231787215556,97.4272653059051,-25.3381833176249,89.6198116883942
2673.48649,99.00166,99.00166,57.8100384412628,69.0054280797204,90.7182062501628,93.8083539481392,83.2799307872863,88.4283699156533,78.6953727813668,69.9555213243696,92.7954536597452,97.3786272150543,-25.3381833176249,89.5779070127537
2676.82382,98.80082,98.80082,57.697766310388,68.8136187999947,90.7501488307197,93.7681972194244,83.6490052166525,88.5251268294024,78.8759318339001,69.8395746914871,92.6677692100372,97.3300079542813,-25.3381833176249,89.5351410636478
2680.16116,98.59725,98.59725,57.5853580920817,68.6232708212151,90.813778451189,93.7293964321987,84.0180796460188,88.6119307284613,79.0572205374758,69.722507650932,92.5400441482268,97.2813698634306,-25.3381833176249,89.4895042029909
2683.4985,98.39367,98.39367,57.4729498737755,68.4333558204934,90.8774080716584,93.6907694836255,84.2557432722778,88.6770421596057,79.2384895207529,69.6040556620041,92.4123190864164,97.2327317725798,-25.3381833176249,89.4429493595046
